name,url,price,sentiment
1337,https://www.1337coin.net/,4.9e-5,-0.13636363636363635
2give,https://2give.info/,0.005609,NA
42-coin,http://42-coin.org/,10563,NA
808coin,http://808bass.space/,5.29e-4,NA
8bit,http://www.8-bit.ga/,0.143459,NA
9coin,http://live9coin.net/,0.002441,NA
abjcoin,https://www.abjcoin.org/,0.59174,NA
abncoin,https://aviabitcoin.com/,0.008578,NA
aces,https://bitcointalk.org/index.php?topic=1568436.0,7.9e-5,-0.5714285714285714
achain,https://www.achain.com/,0.118836,-0.06666666666666667
acoin,https://acoin.info/,0.078058,0.21428571428571427
adcoin,https://www.getadcoin.com/,0.091767,NA
adzcoin,https://adzcoin.org/,0.027988,NA
aeon,http://www.aeon.cash/,1.57,NA
agrolifecoin,https://www.agrolifecoin.org/,0.005873,NA
aidos-kuneen,http://aidoskuneen.com/,31.41,NA
akuya-coin,http://akuyacoin.co/,0.593323,NA
allion,http://www.trollpay.com/,0.007052,-0.26666666666666666
allsafe,https://allsafetoken.com/,0.005152,NA
alpacoin,http://alpacoin.com/,0.003602,NA
ambercoin,http://ambercoin.info,0.007786,NA
ammo-rewards,http://www.ammorewards.net/,9.24e-4,NA
amsterdamcoin,http://amsterdamcoin.com/,0.006672,NA
anarchistsprime,http://www.anarchistsprime.info/,0.006516,NA
animecoin,https://bitcointalk.org/index.php?topic=749541,6.6e-5,NA
anoncoin,https://anoncoin.net/,0.303946,NA
antibitcoin,http://anti.cash/,0.004487,NA
antilitecoin,http://antilitecoin.pw/,3.96e-4,NA
antimatter,https://bitcoingarden.org/forum/index.php?topic=15468.0,6.6e-5,NA
applecoin,http://applecoin.org/,0.014805,NA
aquariuscoin,http://aquariuscoin.com/,0.044413,NA
arbit,https://bitcointalk.org/index.php?topic=1054576.0,0.006402,0
arcticcoin,https://arcticcoin.org/,0.068773,NA
argentum,http://www.argentum.io/,0.006692,NA
argus,https://www.argusnetwork.co,0.007302,NA
aricoin,https://aricoin.org/,5.56e-4,0.14285714285714285
ark,http://ark.io/,2.88,-0.0625
artbyte,https://www.artbyte.me/,0.005607,NA
artex-coin,http://www.atxcoin.org/,0.001897,NA
asch,http://www.asch.so/,0.556633,0.014084507042253521
aseancoin,https://asncoin.com,0.003827,NA
asiacoin,http://www.thecoin.asia/,0.002683,NA
asiadigicoin,http://asiadigicoin.org/,0.002448,NA
asiccoin,http://asiccoin.biz,1.2e-4,NA
atbcoin,https://atbcoin.com/,0.648341,NA
atc-coin,http://atccoin.com/,0.189953,NA
atmcoin,https://www.atmcoin.com/website/inicio,1.32,NA
atmos,https://novusphere.io/,0.019359,-0.14583333333333334
atomic-coin,https://www.atomicproject.org/,0.015929,NA
audiocoin,http://www.audiocoin.eu/,0.003359,NA
aureus,http://aureus.cc/,13.72,NA
auroracoin,http://auroracoin.is/,0.604047,-0.36363636363636365
aurumcoin,https://bitcointalk.org/index.php?topic=1165615.0,1.81,NA
avatarcoin,https://bitcointalk.org/index.php?topic=1287715.0,0.018805,NA
avoncoin,http://avoncoin.org/,3.3e-4,NA
axfunds,http://axfunds.com/,0.029409,NA
axiom,http://axiomcrypto.org/,0.010293,-0.11627906976744186
b3coin,http://b3coin.net/,9.56e-4,NA
bastonet,http://www.bastonet.com/,0.001188,NA
bata,http://www.bata.io/,0.144293,-0.08571428571428572
batcoin,NA,2e-6,NA
bbqcoin,http://bbqcoin.org/,3.67e-4,NA
beatcoin,http://beatcoin.info/,0.025132,NA
beavercoin,http://beavercoin.org,0.014314,NA
benjirolls,http://benjirolls.cf/,0.001226,NA
berncash,http://berncoin.org/,0.001454,NA
bestchain,http://bestchain.hol.es/,9.35e-4,NA
betacoin,https://betacoin.info/,0.001886,NA
biblepay,https://biblepay.org/,6.6e-4,NA
bigboobscoin,https://www.bigboobscoin.info/,0.016496,NA
bigup,http://bigup.club/,6.7e-5,NA
billarycoin,http://billary.rocks/,0.005147,NA
biobar,http://biobar-crypto.ml/,0.013725,NA
bipcoin,https://bipcoin.org/,0.02184,NA
birds,https://www.birdscoin.com/,1.32e-4,0.5
bismuth,http://bismuth.cz/,0.351657,NA
bitalphacoin,http://bitalphacoin.com/,0.002639,NA
bitbar,http://bitbar.co/,14.12,NA
bitbase,https://bitbase.io,0.019267,NA
bitbay,http://bitbay.market/,0.026247,NA
bitbean,http://www.bitbean.org/,0.002508,NA
bitcedi,http://bitcedi.online/,0.001094,NA
bitcentavo,http://bitcentavo.com,1e-6,NA
bitcloud,https://bit-cloud.info/,0.593854,NA
bitcoal,http://weusecoal.org/,0.007588,NA
bitcoin-21,http://www.bitcoin-21.com/,0.052787,NA
bitcoin-cash,https://www.bitcoincash.org/,1007.42,NA
bitcoin-planet,http://bitcoin-planet.net/,0.007375,NA
bitcoin-plus,http://www.bitcoinplus.org,45.56,NA
bitcoin-scrypt,http://theotherbitcoin.com,0.016175,NA
bitcoin,https://bitcoin.org/,6618.14,-0.14468085106382977
bitcoindark,http://bitcoindark.com/,110.18,NA
bitcoinfast,http://bitcoinfast.co/,0.028569,NA
bitcoinz,https://bitcoinz.global/,0.004506,NA
bitconnect,https://bitconnectcoin.co/,253.59,NA
bitcore,http://bitcore.cc/,10.45,0.5
bitcurrency,https://bitcointalk.org/index.php?topic=1856970.0,3.14e-4,NA
bitdeal,https://bitdeal.co.in/,0.268325,NA
bitfid,https://www.bitfid.com/,0.144073,NA
bitgem,http://www.bitgem.pw/,5.94,NA
bitmark,http://bitmark.io/,0.44231,0.1875
bitok,http://bitok.online/,6.6e-5,NA
bitquark,http://www.bitquark.info/,0.005807,NA
bitradio,http://www.bitrad.io/,0.113115,NA
bitsend,http://www.bitsend.info/,0.648764,-0.25
bitshares,https://bitshares.org,0.074902,-0.45454545454545453
bitsoar,http://bitsoar.com/,0.112172,NA
bitstar,https://www.bitstarcoin.com/,0.02067,0.9166666666666666
bitswift,http://bitswift.io/,1.08,NA
bittokens,http://www.bittoken.pw/,0.32857,NA
bitvolt,http://bitvolt.co/,3.96e-4,NA
bitz,https://bitz.biz/,0.046122,0.4444444444444444
bitzeny,http://bitzeny.org/,0.017486,NA
bixc,https://cryptocointalk.com/topic/53487-ann-bixc-bixc-is-an-experimental-new-digital-currency-that-enables-instant-payments-to-anyone/,2.65,NA
blackcoin,http://www.blackcoin.co/,0.214041,-0.1935483870967742
blackstar,http://blackstarotc.com/,6.9e-5,NA
blakecoin,http://www.blakecoin.org/,0.00724,NA
blakestar,http://www.blakestar.io/,0.001708,NA
blazecoin,http://blazeco.in/,3.7e-5,NA
blazercoin,http://blazercoin.cf/,0.001022,NA
blitzcash,http://blitz.cash,0.887477,NA
blocknet,http://blocknet.co/,22.66,NA
blockpool,https://www.blockpool.io/,0.201615,NA
bluecoin,http://www.bluecoin.io/,0.004169,0
bnrtxcoin,http://www.bnrtx.com/,5.57e-4,NA
bolivarcoin,http://bolicoin.com/,0.018348,NA
bongger,http://bongger.com,5.2e-5,NA
boostcoin,https://bitcointalk.org/index.php?topic=601965.0,0.004091,NA
boscoin,https://boscoin.io/,1.16,NA
bottlecaps,https://bitcointalk.org/index.php?topic=241445.0,5.14e-4,NA
bowscoin,https://bitcointalk.org/index.php?topic=1039949.0,0.004751,NA
braincoin,https://cryptocointalk.com/topic/46137-braincoin-info-powpossoon,0.004619,NA
breakout-stake,http://www.breakoutcoin.com/,0.500189,NA
breakout,http://www.breakoutcoin.com/,0.145525,-0.5
briacoin,https://briacoin.com,1.65,NA
bridgecoin,https://bridgecoin.org/,0.096181,NA
britcoin,http://britcoin.xyz/,0.014186,NA
btctalkcoin,https://bitcointalk.org/index.php?topic=864994.0,0.003022,NA
bubble,https://bitcointalk.org/index.php?topic=1348538.0,0.028835,-0.0625
bumbacoin,http://bumbacoin.com/,0.003299,NA
bunnycoin,http://bunnycoin.org/,2e-6,NA
burst,http://www.burst-team.us/,0.006203,-0.34782608695652173
buzzcoin,http://www.buzzcoin.info/,3.3e-4,NA
bytecent,http://bytecent.com,0.569635,NA
c-bit,http://c-bit.me/,7.89e-4,NA
cabbage,http://www.cabbage.tech,0.002573,NA
cachecoin,https://www.cachecoin.cc/,0.020389,NA
cagecoin,http://cagecoin.net,5e-6,NA
californium,https://bitcointalk.org/index.php?topic=1027613.0,0.024348,NA
caliphcoin,http://caliphcoin.eu/,5.02e-4,NA
campuscoin,https://campuscoin.net/,4.85e-4,NA
canada-ecoin,http://www.canadaecoin.ca/,0.006421,NA
cannabiscoin,http://cannabiscoin.net,0.025546,NA
cannacoin,http://www.cannacoin.tech/,0.032769,NA
cannation,http://www.cannationcoin.com/,0.049295,NA
capricoin,http://capricoin.org/,0.323915,NA
carboncoin,http://carboncoin.cc,4e-5,NA
cardano,https://www.cardanohub.org/,0.027119,0
cashcoin,https://cashcoin.cash/,9.9e-4,NA
cashme,https://bitcointalk.org/index.php?topic=1165889.0,6.6e-5,NA
casinocoin,http://casinocoin.org/,0.146253,NA
catcoin,http://www.catcoins.org/,0.011349,NA
cbd-crystals,https://bitcointalk.org/index.php?topic=1652851.0,0.001254,NA
centurion,http://www.centurionlab.org/,0.127844,NA
chaincoin,http://www.chaincoin.org/,0.136406,NA
chancoin,https://chancoin.org/,0.01471,NA
cheapcoin,https://bitcointalk.org/index.php?topic=1932016.0,5.28e-4,NA
chesscoin,http://chesscoinpro.com/,0.002588,NA
chips,https://www.supernet.org/,0.099635,-0.13333333333333333
chncoin,http://chncoin.org/,3.3e-4,NA
chronos,http://chronos-coin.com/,8.96e-4,-0.1724137931034483
clams,http://clamcoin.org/,4.57,NA
clinton,http://myclint.us/,0.007786,NA
cloakcoin,https://www.cloakcoin.com/,4.9,NA
clubcoin,http://clubcoin.co/,1.62,NA
coinonat,http://www.coinonat.org/,0.005104,NA
coinonatx,http://coinonatx.com/,0.006272,NA
colossuscoin-v2,http://colossuscoin.org,6.6e-5,NA
colossuscoinxt,https://colossuscoin.org/index.php/colx,1.39e-4,NA
comet,https://cometcoin.com/,0.039179,-0.3629032258064516
compcoin,https://compcoin.com/,2.18,NA
compucoin,http://compucoin.org/,0.0025959999999999998,NA
concoin,http://www.concoin.com/,0.005345,NA
condensate,http://condensate.co,0.032673,NA
corgicoin,https://corgicoinproofofstake.wordpress.com/ ,1.27e-4,NA
