currency,url
1337,https://www.1337coin.net/
2give,https://2give.info/
42-coin,http://42-coin.org/
808coin,http://808bass.space/
8bit,http://www.8-bit.ga/
9coin,http://live9coin.net/
abjcoin,https://www.abjcoin.org/
abncoin,https://aviabitcoin.com/
aces,https://bitcointalk.org/index.php?topic=1568436.0
achain,https://www.achain.com/
acoin,https://acoin.info/
adcoin,https://www.getadcoin.com/
adzcoin,https://adzcoin.org/
aeon,http://www.aeon.cash/
agrolifecoin,https://www.agrolifecoin.org/
aidos-kuneen,http://aidoskuneen.com/
akuya-coin,http://akuyacoin.co/
allion,http://www.trollpay.com/
allsafe,https://allsafetoken.com/
alpacoin,http://alpacoin.com/
ambercoin,http://ambercoin.info
ammo-rewards,http://www.ammorewards.net/
amsterdamcoin,http://amsterdamcoin.com/
anarchistsprime,http://www.anarchistsprime.info/
animecoin,https://bitcointalk.org/index.php?topic=749541
anoncoin,https://anoncoin.net/
antibitcoin,http://anti.cash/
antilitecoin,http://antilitecoin.pw/
antimatter,https://bitcoingarden.org/forum/index.php?topic=15468.0
applecoin,http://applecoin.org/
aquariuscoin,http://aquariuscoin.com/
arbit,https://bitcointalk.org/index.php?topic=1054576.0
arcticcoin,https://arcticcoin.org/
argentum,http://www.argentum.io/
argus,https://www.argusnetwork.co
aricoin,https://aricoin.org/
ark,http://ark.io/
artbyte,https://www.artbyte.me/
artex-coin,http://www.atxcoin.org/
asch,http://www.asch.so/
aseancoin,https://asncoin.com
asiacoin,http://www.thecoin.asia/
asiadigicoin,http://asiadigicoin.org/
asiccoin,http://asiccoin.biz
atbcoin,https://atbcoin.com/
atc-coin,http://atccoin.com/
atmcoin,https://www.atmcoin.com/website/inicio
atmos,https://novusphere.io/
atomic-coin,https://www.atomicproject.org/
audiocoin,http://www.audiocoin.eu/
aureus,http://aureus.cc/
auroracoin,http://auroracoin.is/
aurumcoin,https://bitcointalk.org/index.php?topic=1165615.0
avatarcoin,https://bitcointalk.org/index.php?topic=1287715.0
avoncoin,http://avoncoin.org/
axfunds,http://axfunds.com/
axiom,http://axiomcrypto.org/
b3coin,http://b3coin.net/
bastonet,http://www.bastonet.com/
bata,http://www.bata.io/
batcoin,NA
