"currency","live","home_page","open_source","github","owner_name","repo_name"
"1337","True","https://www.1337coin.net/","False","","",""
"2give","True","https://2give.info/","True","https://github.com/givecoin/givecoin/releases","givecoin","givecoin"
"42-coin","True","http://42-coin.org/","False","","",""
"808coin","True","http://808bass.space/","False","","",""
"8bit","True","http://www.8-bit.ga/","False","","",""
"9coin","True","http://live9coin.net/","False","","",""
"abjcoin","True","https://www.abjcoin.org/","True","https://github.com/abjcoinblockchain/abjcoin","abjcoinblockchain","abjcoin"
"abncoin","True","https://aviabitcoin.com/","False","","",""
"aces","True","https://bitcointalk.org/index.php?topic=1568436.0","True","https://github.com/aces-coin/acescoin","aces-coin","acescoin"
"achain","True","https://www.achain.com/","True","https://github.com/achain-dev/achain","achain-dev","achain"
"acoin","True","https://acoin.info/","True","https://github.com/acoin-project/acoin","acoin-project","acoin"
"adcoin","True","https://www.getadcoin.com/","True","https://github.com/adcoin-project/adcoin","adcoin-project","adcoin"
"adzcoin","True","https://adzcoin.org/","True","https://github.com/adzcoin/adzcoin","adzcoin","adzcoin"
"aeon","True","http://www.aeon.cash/","True","https://github.com/aeonix/aeon/releases/tag/v0.9.13.0","aeonix","aeon"
"agrolifecoin","True","https://www.agrolifecoin.org/","True","https://github.com/traiborg/agrolifecoin/releases/download/1.2/agrolifecoin-qt.exe","traiborg","agrolifecoin"
"aidos-kuneen","True","http://aidoskuneen.com/","True","https://github.com/aidoskuneen/aidos-wallet/releases","aidoskuneen","aidos-wallet"
"akuya-coin","True","http://akuyacoin.co/","True","https://github.com/akuyacoin/akuyacoin","akuyacoin","akuyacoin"
"allion","False","","","","",""
"allsafe","False","","","","",""
"alpacoin","True","http://alpacoin.com/","False","","",""
"ambercoin","True","http://ambercoin.info","True","https://github.com/ambercoindev/amber","ambercoindev","amber"
"ammo-rewards","True","http://www.ammorewards.net/","False","","",""
"amsterdamcoin","True","http://amsterdamcoin.com/","True","https://github.com/coinprojects/amsterdamcoin-v4/releases/download/v4.1.0.0/amsterdamcoin-qt-4.1.0.","coinprojects","amsterdamcoin-v4"
"anarchistsprime","True","http://www.anarchistsprime.info/","False","","",""
"animecoin","True","https://bitcointalk.org/index.php?topic=749541","True","https://github.com/testzcrypto/animecoin/releases/tag/0.8.3.2","testzcrypto","animecoin"
"anoncoin","False","","","","",""
"antibitcoin","True","http://anti.cash/","False","","",""
"antilitecoin","True","http://antilitecoin.pw/","False","","",""
"antimatter","True","https://bitcoingarden.org/forum/index.php?topic=15468.0","True","https://github.com/antimattercoin/antimatter","antimattercoin","antimatter"
"applecoin","True","http://applecoin.org/","False","","",""
"aquariuscoin","True","http://aquariuscoin.com/","True","https://github.com/aquariusnetwork/arco","aquariusnetwork","arco"
"arbit","True","https://bitcointalk.org/index.php?topic=1054576.0","True","https://github.com/arbitcoin/arbit","arbitcoin","arbit"
"arcticcoin","True","https://arcticcoin.org/","True","https://github.com/arcticcore/arcticcoin/releases/download/v0.12.1.2/arcticcore-0.12.2-win64.zip","arcticcore","arcticcoin"
"argentum","False","","","","",""
"argus","True","https://www.argusnetwork.co","False","","",""
"aricoin","True","https://aricoin.org/","False","","",""
"ark","True","http://ark.io/","True","https://github.com/arkecosystem/ark-desktop/releases","arkecosystem","ark-desktop"
"artbyte","True","https://www.artbyte.me/","False","","",""
"artex-coin","True","http://www.atxcoin.org/","False","","",""
"asch","True","http://www.asch.so/","True","https://github.com/aschplatform","aschplatfor",""
"aseancoin","True","https://asncoin.com","False","","",""
"asiacoin","True","http://www.thecoin.asia/","False","","",""
"asiadigicoin","True","http://asiadigicoin.org/","False","","",""
"asiccoin","True","http://asiccoin.biz","False","","",""
"atbcoin","True","https://atbcoin.com/","False","","",""
"atc-coin","True","http://atccoin.com/","True","https://github.com/atccoin2017/atccoin/","atccoin2017","atccoin"
"atmcoin","True","https://www.atmcoin.com/website/inicio","False","","",""
"atmos","True","https://novusphere.io/","False","","",""
"atomic-coin","True","https://www.atomicproject.org/","False","","",""
"audiocoin","True","http://www.audiocoin.eu/","False","","",""
"aureus","True","http://aureus.cc/","False","","",""
"auroracoin","True","http://auroracoin.is/","True","https://github.com/aurarad/auroracoin","aurarad","auroracoin"
"aurumcoin","True","https://bitcointalk.org/index.php?topic=1165615.0","True","https://github.com/aurumcoin/aurumcoin_au","aurumcoin","aurumcoin_au"
"avatarcoin","True","https://bitcointalk.org/index.php?topic=1287715.0","True","https://github.com/avatarcoin/avatarcoin","avatarcoin","avatarcoin"
"avoncoin","True","http://avoncoin.org/","False","","",""
"axfunds","True","http://axfunds.com/","True","https://github.com/axfunds/axfunds","axfunds","axfunds"
"axiom","True","http://axiomcrypto.org/","False","","",""
"b3coin","True","http://b3coin.net/","True","https://github.com/limxtec/b3-coinv2/releases/download/v2.0.0.2/windows.2.0.0.2.zip","limxtec","b3-coinv2"
"bastonet","True","http://www.bastonet.com/","False","","",""
"bata","True","http://www.bata.io/","True","https://github.com/bta-bata/bata-source","bta-bata","bata-source"
"batcoin","False","","","","",""
"bbqcoin","True","http://bbqcoin.org/","False","","",""
"beatcoin","False","","","","",""
"beavercoin","False","","","","",""
"benjirolls","True","http://benjirolls.cf/","False","","",""
"berncash","True","http://berncoin.org/","True","https://github.com/berniecoin/berncash","berniecoin","berncash"
"bestchain","True","http://bestchain.hol.es/","False","","",""
"betacoin","True","https://betacoin.info/","False","","",""
"biblepay","True","https://biblepay.org/","True","https://github.com/biblepay/biblepay","biblepay","biblepay"
"bigboobscoin","True","https://www.bigboobscoin.info/","False","","",""
"bigup","True","http://bigup.club/","True","https://github.com/bigups/wallet","bigups","wallet"
"billarycoin","True","http://billary.rocks/","False","","",""
"biobar","False","","","","",""
"bipcoin","True","https://bipcoin.org/","False","","",""
"birds","True","https://www.birdscoin.com/","False","","",""
