name,commit_count,star_count,watcher_count,forks_count,contributers_count,open_issues_count,subscribers_count,period
sixeleven,1397,4,4,0,4,0,1,148
Abjcoin,28,2,2,0,2,0,0,12
AcesCoin,2,0,0,0,2,0,0,472
Achain,35,39,39,18,2,0,7,66
acoin,3,3,3,3,2,0,1,1168
AdCoin,7,10,10,4,2,2,2,121
adzcoin,1,1,1,2,2,0,4,697
aeon,202,120,120,72,2,22,70,1255
aidos-wallet,69,1,1,3,2,0,1,175
akuyacoin,3,1,1,0,2,1,1,51
PIE,14,3,3,1,2,0,2,117
SHACoin-Dead,43,1,1,2,2,1,1,1263
STEPS,8,2,2,1,2,0,3,788
Amber,26,0,0,2,2,0,2,1055
fantomcoin,92,8,8,5,2,0,9,1287
MyBitcoinZ,30,5,5,4,2,2,4,34
Antimatter,1,0,0,0,2,0,0,152
ARCO,3740,2,2,0,6,0,3,324
ARbit,1,0,0,0,2,0,1,912
arcticcoin,49,11,11,14,2,5,6,447
ark-desktop,733,96,96,81,2,57,29,364
atccoin,2,0,0,3,2,0,0,51
Auroracoin,88,5,5,7,2,3,14,604
Aurumcoin_AU,7,0,0,3,2,1,1,1143
avatarcoin,2,0,0,0,2,0,1,704
braincoin,9934,1,1,3,11,0,1,594
AXFunds,1,2,2,1,2,0,1,173
BTCtalkcoin-1.50,6,0,0,2,2,0,2,1281
uncoin-source-code,1,2,2,1,2,0,1,1022
BERNcash,63,3,3,3,2,0,4,631
biblepay,68,6,6,8,2,6,5,117
wallet,3,0,0,2,2,0,1,632
ClubCoin,219,3,3,6,2,8,6,719
bitcoin,15435,18773,18773,11238,15,753,2033,2520
cpuminer-yescrypt,335,0,0,0,2,0,1,1094
BUIP,145,16,16,17,2,3,12,432
bitconnectcoin,30,56,56,58,2,20,28,316
bitdeal,10,0,0,3,2,0,4,215
BitQuark-0.8.3r21,9,1,1,0,2,1,1,309
bitstar,25,3,3,2,2,0,4,1214
bitswift,34,7,7,6,2,0,9,1055
BitToken,6,0,0,2,2,1,1,365
bitzeny,5813,13,13,5,8,1,6,1127
blocknet-docs,218,13,13,10,2,2,11,104
XtraBYtes,154,23,23,11,2,4,16,214
bottlecaps,244,7,7,20,2,3,7,1603
bowscoin,19,0,0,0,2,0,1,912
BATA-SOURCE,438,4,4,13,2,0,5,916
draftcoin,48,0,0,0,2,0,6,901
bumbacoin2-source,12,0,0,0,2,1,1,342
BUZZ,28,1,1,2,2,1,2,36
Californium,2,1,1,1,2,1,2,938
CampusCoin-Source,4,3,3,0,2,0,3,124
cannabiscoin420,45,17,17,23,2,3,11,1254
CarboncoinCore,22,3,3,1,2,0,3,1231
kashhcoin,15,0,0,5,2,2,2,312
CatcoinRelease,61,3,3,15,2,2,7,1382
Quotient,18,1,1,5,2,0,2,1097
chaincoin,4453,48,48,36,6,12,33,1394
CHANCOIN,34,2,2,5,2,0,2,111
chain,1,0,0,0,2,0,1,173
stakecoin,16,0,0,5,2,0,2,1036
raiblocks,2226,92,92,49,2,77,46,1291
2.0.2.1-Wallets,3,0,0,1,2,1,3,4
MMXVI,10,0,0,3,2,0,1,678
